height,weight,age,male
67.34539136664691,151.163974662772,26,0
69.1312196959252,203.525147558551,44,1
67.71027100656809,205.752353698099,42,1
62.4123623919906,117.148812904635,27,0
72.9674921385285,229.394554707762,49,1
64.53073844703931,139.16004551705,41,0
62.0752082392742,108.147605924986,36,0
65.8416370801193,153.223696532683,32,1
62.4064801748851,130.387132977255,31,0
71.41216224518159,217.293369554484,41,1
69.8972916961487,198.358760710745,35,1
73.56588001579519,213.624892849943,44,1
72.2576596011603,205.426255570436,32,1
65.274520685968,135.088790729601,48,0
61.5305677393144,134.28347807603302,46,0
67.2981056423676,162.280480607347,43,0
62.946697634464,121.684162544557,36,0
73.1976629480473,206.095540164959,34,1
69.573422833645,170.285228223534,45,1
68.83330381324889,182.614111128035,39,1
61.9477598731306,112.96516248087,26,0
70.109852369113,204.223196819712,40,1
69.829679115924,196.218639696094,33,1
70.20588258836669,188.531900174482,32,1
62.7217669379405,138.798274162533,46,0
62.8953029053001,140.026405496844,35,0
59.8007145012663,117.713809273295,38,0
63.43600875474579,143.489626342583,35,0
64.37873067687981,124.206873304074,26,0
64.5529283994475,165.77147535216,37,1
71.5497700994047,215.256851262025,50,1
72.6747755144427,196.046634080451,32,1
60.495789417275596,114.2247962515,31,0
71.7694471518134,206.330595550546,46,1
65.723922447613,152.220042862039,34,0
67.1573566284942,154.372626085851,31,1
70.7582776521047,201.534178304201,33,1
68.540578352507,192.3306528154,32,1
75.0649885443558,224.482102570528,43,1
67.3341709198179,192.493157652824,45,1
59.508589503189896,97.0885173454698,33,0
63.0060194418352,145.621049799341,36,0
58.6230444090222,130.159089656364,38,0
69.6508397846292,209.371794256232,46,1
58.7077871493332,107.425989559395,35,0
70.158051898981,182.321297491082,39,1
68.73028841515449,203.029566571562,46,1
72.0713872338541,203.929107075105,45,1
64.9367024115553,137.272979501319,29,0
74.29685922312059,233.718677743803,39,1
67.1748867342449,174.241254688207,45,1
62.1765751948061,113.155852012059,31,0
68.63473111729499,181.648409333435,44,1
70.6304887722538,207.01833670293,46,1
65.6383833813307,165.104776734366,42,1
73.60609715768119,202.745667002798,32,1
64.5635008076718,150.978449983096,34,0
65.3569855056391,152.253878067555,43,0
65.056126049222,135.881979564154,36,0
68.7960877832841,190.874929158184,36,1
62.691301795676,125.409991249452,32,0
65.20312526326441,168.448865470818,45,0
60.3554866464405,124.880580609229,50,0
67.3528662909405,174.690688814,43,1
64.14714797591651,113.546685632424,26,0
60.3699127252181,114.22816590943,32,0
70.6985771391676,167.671149980511,29,1
65.4424876840815,122.944360535363,28,0
62.3847704149438,122.339434255286,28,0
72.3737439924026,191.129819441304,25,1
74.0596099568632,200.868208976835,32,1
68.00717165732479,199.5940922367,46,1
63.9018039912363,150.765398829352,37,0
60.1791579742199,119.880045352394,43,0
61.4733897954425,112.141097116868,43,0
67.73344429164969,166.152372753389,25,1
73.13557870514799,216.56178934004,46,1
72.28739158299939,204.561845923571,37,1
67.8820244545793,183.269967984594,31,1
72.7740783551613,197.188841932583,48,1
71.7770825871222,196.619480953876,26,1
68.6967595584502,200.26634876783,44,1
60.3550842641814,104.6866743332824,44,0
61.9236118770252,126.149734648921,34,0
69.1613711736471,176.041945711247,30,1
63.864867891160294,155.260435924644,38,0
69.8034285319249,197.393762304283,49,1
65.12730262549529,159.472185853494,43,1
62.8996473404995,132.586079174951,42,0
61.9234894106735,141.660589331517,34,0
66.5669093402562,143.210302036379,27,0
67.86999376798869,172.474445787458,31,1
66.919733141364,162.490831665133,33,0
70.2114032550123,171.296196746773,34,1
67.1144808195324,146.672830227387,35,0
72.20708579889059,215.927012136803,47,1
63.4357060393282,158.325029610765,50,0
59.978630682393096,106.9775540088973,47,0
72.10520626787249,216.883495751742,49,1
69.0461922132042,210.382880743295,44,1
56.881392089645196,76.4965711068527,29,0
64.5145410829098,178.842391509704,45,1
62.491703137238,110.008872902635,25,0
62.2984140743408,124.040891841666,31,0
65.20060053779319,176.463352397708,48,1
64.28605119591171,151.86693345711,37,0
69.8507757859547,177.251744913945,38,1
72.0519300391906,210.234438721485,43,1
69.3612469290256,182.125973501963,37,1
69.0417708048343,185.206456202357,34,0
62.876426832678696,139.647845260601,43,0
64.574325721061,183.88347020878,45,1
59.0085601361981,108.813156032597,38,0
73.06702493025429,199.294588690205,26,1
63.2035583689906,135.069789093321,29,0
67.37643782343369,179.620052332972,34,1
69.60429955278549,207.362336212804,41,1
63.650904349404804,160.416382803675,40,0
63.5737578926288,134.647820584166,47,0
66.6076309249385,161.157986017427,42,0
66.0040459829476,136.679530368386,28,0
65.03738744782751,171.605728749611,48,0
70.92711641117829,203.497160869606,45,1
65.6018964277919,168.559024052726,49,1
75.5719358130996,248.575313557795,44,1
70.04033828495169,213.308297333384,45,1
72.4161058100474,216.925139709548,47,1
66.6251213560333,167.524336991482,42,0
70.73694723375169,193.782153682397,32,1
64.04983204707621,152.263908334908,35,0
68.3003580213677,166.162586782756,40,1
60.5900488527784,123.727957619958,44,0
63.9549343258853,133.546663725556,36,0
69.5612163361526,202.354179730734,46,1
64.4600953420888,148.725493237891,39,0
69.3538937820144,174.173493103944,28,1
70.5573417230263,182.49552651689,29,1
68.0670859102263,173.475957317792,49,1
66.91375084764829,164.466629826812,31,1
70.436551651926,187.011673267755,49,1
67.5692678882482,169.347225467517,46,0
65.95609730730821,143.39341744984,28,0
71.6355954202262,215.475993981488,37,1
63.57330599842749,148.326567041739,30,0
61.7047030955034,108.117423552414,26,0
69.75511404320059,179.75172720964,35,1
68.37378646922339,208.163668614167,50,1
69.63952249653329,193.092449211837,33,1
70.5831374596516,207.41441183225,36,1
